fee_rate,period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
0.0020000000,decade_2016_2025,riskadj_h60_t15_block_cut,2016-01-04,2025-12-31,100000.0000000000,2969901.9293189161,28.6990192932,0.4041465731,63,6.3059132639,60374.8775712985,-0.4602057948,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,decade_2016_2025,cool_s10_l30_r80_block_cut,2016-01-04,2025-12-31,100000.0000000000,2399229.0516076293,22.9922905161,0.3744745618,65,6.5061009866,50890.1254673172,-0.4601968136,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,decade_2016_2025,breadth_price_sma_h60_n3_block_cut,2016-01-04,2025-12-31,100000.0000000000,2400549.2426744737,23.0054924267,0.3745502454,59,5.9055378186,48303.3229729012,-0.4602033578,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,decade_2016_2025,cool_s10_l30_r95_block_cut,2016-01-04,2025-12-31,100000.0000000000,2392323.4732632386,22.9232347326,0.3740780688,65,6.5061009866,50768.3219297402,-0.4602064309,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,decade_2016_2025,riskadj_h20_t10_block_cut,2016-01-04,2025-12-31,100000.0000000000,2419341.8606366590,23.1934186064,0.3756235422,65,6.5061009866,51231.4037912203,-0.4602056252,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,decade_2016_2025,riskadj_h20_t15_block_cut,2016-01-04,2025-12-31,100000.0000000000,2399229.0516076293,22.9922905161,0.3744745618,65,6.5061009866,50890.1254673172,-0.4601968136,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0050000000,actual_pre2026,vo,2010-02-11,2025-12-31,100000.0000000000,21667229.0804016143,215.6722908040,0.4029476939,91,5.7285535160,1235544.0603805275,-0.4676753432,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,actual_pre2026,recovery_10_breadth2_cool95,2010-02-11,2025-12-31,100000.0000000000,26637549.3910566643,265.3754939106,0.4213061108,93,5.8544557911,1385675.1030391245,-0.4676757548,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,actual_pre2026,consensus_20_60_120_n3_block_cut,2010-02-11,2025-12-31,100000.0000000000,25878091.5848243162,257.7809158482,0.4187204526,83,5.2249444157,1333824.8554112127,-0.4676755668,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,actual_pre2026,riskadj_h60_t15_step_up,2010-02-11,2025-12-31,100000.0000000000,27664350.7289364450,275.6435072894,0.4246942520,95,5.9803580662,1636694.8895235118,-0.4730903076,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,actual_pre2026,recovery_15_breadth2_cool95,2010-02-11,2025-12-31,100000.0000000000,26408421.6902483664,263.0842169025,0.4205333751,93,5.8544557911,1377492.3748694079,-0.4676758245,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,actual_pre2026,cool_s10_l60_r95_block_cut,2010-02-11,2025-12-31,100000.0000000000,23326418.0889106616,232.2641808891,0.4094793861,89,5.6026512410,1284284.5485019675,-0.4676755697,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,actual_pre2026,cool_s5_l30_r80_block_cut,2010-02-11,2025-12-31,100000.0000000000,23103130.8667314947,230.0313086673,0.4086262200,87,5.4767489659,1274090.1620716297,-0.4676754634,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,actual_pre2026,cool_s5_l60_r65_block_cut,2010-02-11,2025-12-31,100000.0000000000,22265633.3683974594,221.6563336840,0.4053558219,89,5.6026512410,1232513.3477387193,-0.4676759423,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,actual_pre2026,cool_s10_l60_r65_block_cut,2010-02-11,2025-12-31,100000.0000000000,22265633.3683974594,221.6563336840,0.4053558219,89,5.6026512410,1232513.3477387193,-0.4676759423,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,actual_pre2026,riskadj_h60_t15_block_cut,2010-02-11,2025-12-31,100000.0000000000,27624831.6132542379,275.2483161325,0.4245660476,87,5.4767489659,1459374.1885515915,-0.4676760717,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,actual_pre2026,cool_s10_l30_r80_block_cut,2010-02-11,2025-12-31,100000.0000000000,22297386.2522637695,221.9738625226,0.4054819024,87,5.4767489659,1229650.7497299847,-0.4676753738,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,actual_pre2026,breadth_price_sma_h60_n3_block_cut,2010-02-11,2025-12-31,100000.0000000000,22511633.8570878655,224.1163385709,0.4063282396,81,5.0990421406,1174942.7473430140,-0.4676756431,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,actual_pre2026,cool_s10_l30_r95_block_cut,2010-02-11,2025-12-31,100000.0000000000,22233490.0622855723,221.3349006229,0.4052280194,87,5.4767489659,1226763.6363065469,-0.4676757005,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
