year,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
2012,consensus_20_60_120_n3_block_cut,2012-01-03,2012-12-31,100000.0000000000,137034.8253592395,0.3703482536,0.3730180585,8,8.0494214876,496.9447977635,-0.3193842256,2012-04-03,2012-06-01,59,2012-09-06,97.0000000000,156.0000000000,156,2012-04-03
2012,riskadj_h60_t15_step_up,2012-01-03,2012-12-31,100000.0000000000,137034.8253592395,0.3703482536,0.3730180585,8,8.0494214876,496.9447977635,-0.3193842256,2012-04-03,2012-06-01,59,2012-09-06,97.0000000000,156.0000000000,156,2012-04-03
2012,recovery_15_breadth2_cool95,2012-01-03,2012-12-31,100000.0000000000,137034.8253592395,0.3703482536,0.3730180585,8,8.0494214876,496.9447977635,-0.3193842256,2012-04-03,2012-06-01,59,2012-09-06,97.0000000000,156.0000000000,156,2012-04-03
2012,cool_s10_l60_r95_block_cut,2012-01-03,2012-12-31,100000.0000000000,137034.8253592395,0.3703482536,0.3730180585,8,8.0494214876,496.9447977635,-0.3193842256,2012-04-03,2012-06-01,59,2012-09-06,97.0000000000,156.0000000000,156,2012-04-03
2012,cool_s5_l30_r80_block_cut,2012-01-03,2012-12-31,100000.0000000000,137034.8253592395,0.3703482536,0.3730180585,8,8.0494214876,496.9447977635,-0.3193842256,2012-04-03,2012-06-01,59,2012-09-06,97.0000000000,156.0000000000,156,2012-04-03
2012,cool_s5_l60_r65_block_cut,2012-01-03,2012-12-31,100000.0000000000,137034.8253592395,0.3703482536,0.3730180585,8,8.0494214876,496.9447977635,-0.3193842256,2012-04-03,2012-06-01,59,2012-09-06,97.0000000000,156.0000000000,156,2012-04-03
2012,cool_s10_l60_r65_block_cut,2012-01-03,2012-12-31,100000.0000000000,137034.8253592395,0.3703482536,0.3730180585,8,8.0494214876,496.9447977635,-0.3193842256,2012-04-03,2012-06-01,59,2012-09-06,97.0000000000,156.0000000000,156,2012-04-03
2012,riskadj_h60_t15_block_cut,2012-01-03,2012-12-31,100000.0000000000,137034.8253592395,0.3703482536,0.3730180585,8,8.0494214876,496.9447977635,-0.3193842256,2012-04-03,2012-06-01,59,2012-09-06,97.0000000000,156.0000000000,156,2012-04-03
2012,cool_s10_l30_r80_block_cut,2012-01-03,2012-12-31,100000.0000000000,137034.8253592395,0.3703482536,0.3730180585,8,8.0494214876,496.9447977635,-0.3193842256,2012-04-03,2012-06-01,59,2012-09-06,97.0000000000,156.0000000000,156,2012-04-03
2012,breadth_price_sma_h60_n3_block_cut,2012-01-03,2012-12-31,100000.0000000000,134128.6849403843,0.3412868494,0.3437220857,8,8.0494214876,490.8953822412,-0.3193842256,2012-04-03,2012-06-01,59,2012-09-14,105.0000000000,164.0000000000,164,2012-04-03
2012,cool_s10_l30_r95_block_cut,2012-01-03,2012-12-31,100000.0000000000,137034.8253592395,0.3703482536,0.3730180585,8,8.0494214876,496.9447977635,-0.3193842256,2012-04-03,2012-06-01,59,2012-09-06,97.0000000000,156.0000000000,156,2012-04-03
2012,riskadj_h20_t10_block_cut,2012-01-03,2012-12-31,100000.0000000000,137034.8253592395,0.3703482536,0.3730180585,8,8.0494214876,496.9447977635,-0.3193842256,2012-04-03,2012-06-01,59,2012-09-06,97.0000000000,156.0000000000,156,2012-04-03
2012,riskadj_h20_t15_block_cut,2012-01-03,2012-12-31,100000.0000000000,137034.8253592395,0.3703482536,0.3730180585,8,8.0494214876,496.9447977635,-0.3193842256,2012-04-03,2012-06-01,59,2012-09-06,97.0000000000,156.0000000000,156,2012-04-03
2013,vo,2013-01-02,2013-12-31,100000.0000000000,223398.3493772242,1.2339834938,1.2451040137,1,1.0061776860,99.9000991511,-0.1730720790,2013-05-17,2013-06-24,38,2013-07-11,17.0000000000,55.0000000000,55,2013-05-17
2013,recovery_10_breadth2_cool95,2013-01-02,2013-12-31,100000.0000000000,223398.3493772242,1.2339834938,1.2451040137,1,1.0061776860,99.9000991511,-0.1730720790,2013-05-17,2013-06-24,38,2013-07-11,17.0000000000,55.0000000000,55,2013-05-17
2013,consensus_20_60_120_n3_block_cut,2013-01-02,2013-12-31,100000.0000000000,223398.3493772242,1.2339834938,1.2451040137,1,1.0061776860,99.9000991511,-0.1730720790,2013-05-17,2013-06-24,38,2013-07-11,17.0000000000,55.0000000000,55,2013-05-17
2013,riskadj_h60_t15_step_up,2013-01-02,2013-12-31,100000.0000000000,223398.3493772242,1.2339834938,1.2451040137,1,1.0061776860,99.9000991511,-0.1730720790,2013-05-17,2013-06-24,38,2013-07-11,17.0000000000,55.0000000000,55,2013-05-17
2013,recovery_15_breadth2_cool95,2013-01-02,2013-12-31,100000.0000000000,223398.3493772242,1.2339834938,1.2451040137,1,1.0061776860,99.9000991511,-0.1730720790,2013-05-17,2013-06-24,38,2013-07-11,17.0000000000,55.0000000000,55,2013-05-17
2013,cool_s10_l60_r95_block_cut,2013-01-02,2013-12-31,100000.0000000000,223398.3493772242,1.2339834938,1.2451040137,1,1.0061776860,99.9000991511,-0.1730720790,2013-05-17,2013-06-24,38,2013-07-11,17.0000000000,55.0000000000,55,2013-05-17
