period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
full_current,consensus_10_20_60_n2_block_cut,1999-03-10,2026-08-07,100000.0000000000,195718379.9765033722,1956.1837997650,0.3185004416,123,4.4870982321,1789134.9541024114,-0.5542146514,2007-10-31,2009-05-13,560,2009-12-28,229.0000000000,789.0000000000,1281,2000-01-03
full_current,consensus_10_20_60_n3_step_up,1999-03-10,2026-08-07,100000.0000000000,151124088.9253048301,1510.2408892530,0.3061215602,348,12.6952047543,3388171.8240024056,-0.6185828950,2007-10-31,2009-05-13,560,2010-04-12,334.0000000000,894.0000000000,2145,2000-01-03
full_current,consensus_10_20_60_n3_block_cut,1999-03-10,2026-08-07,100000.0000000000,234482788.6803362370,2343.8278868034,0.3272209970,137,4.9978248602,2578553.7295325384,-0.5415054473,2007-10-31,2009-05-13,560,2009-12-23,224.0000000000,784.0000000000,1243,2000-01-03
full_current,consensus_20_60_120_n2_step_up,1999-03-10,2026-08-07,100000.0000000000,167499542.8910617232,1673.9954289106,0.3110327584,278,10.1415716141,1939226.4132197860,-0.7484177628,2000-03-27,2003-03-11,1079,2006-01-11,1037.0000000000,2116.0000000000,2116,2000-03-27
full_current,consensus_20_60_120_n2_block_cut,1999-03-10,2026-08-07,100000.0000000000,141242680.6869705021,1411.4268068697,0.3029034954,108,3.9398911306,1053330.2657157879,-0.5552916828,2007-10-31,2009-05-13,560,2009-12-28,229.0000000000,789.0000000000,1319,2000-03-27
full_current,consensus_20_60_120_n3_step_up,1999-03-10,2026-08-07,100000.0000000000,334552151.9402509928,3344.5215194025,0.3445411828,279,10.1780520875,6627382.3202074198,-0.6120629053,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1254,2000-03-27
full_current,consensus_20_60_120_n3_block_cut,1999-03-10,2026-08-07,100000.0000000000,270922998.1498250365,2708.2299814983,0.3342335059,139,5.0707858070,2964274.2615460968,-0.5288304327,2007-10-31,2009-05-13,560,2009-12-22,223.0000000000,783.0000000000,1243,2000-01-03
full_current,recovery_10_breadth2_cool95,1999-03-10,2026-08-07,100000.0000000000,306133187.8157292604,3060.3318781573,0.3401939783,165,6.0192781163,3396337.6779342941,-0.5315738701,2007-10-31,2009-05-13,560,2009-12-28,229.0000000000,789.0000000000,789,2007-10-31
full_current,recovery_15_breadth2_cool95,1999-03-10,2026-08-07,100000.0000000000,289871282.6613831520,2897.7128266138,0.3375280067,165,6.0192781163,3222078.4815752315,-0.5288304205,2007-10-31,2009-05-13,560,2010-01-04,236.0000000000,796.0000000000,796,2007-10-31
actual_current,vo,2010-02-11,2026-08-07,100000.0000000000,29687625.5120943859,295.8762551209,0.4125049410,98,5.9448206278,376771.4374976173,-0.4577022582,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
