period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
full_pre2026,varshare_tqqq_75_floor100,1999-03-10,2025-12-31,100000.0000000000,139729079.6186861694,1396.2907961869,0.3101092312,193,7.1981826305,1972138.7854834988,-0.4882722698,2024-12-16,2025-05-23,158,,,,1465,2000-01-03
full_pre2026,varshare_tqqq_75_step_up,1999-03-10,2025-12-31,100000.0000000000,158296663.2082482576,1581.9666320825,0.3162197539,192,7.1608863474,1996936.8452487222,-0.4939012565,2007-10-31,2009-05-13,560,2009-12-24,225.0000000000,785.0000000000,1248,2000-01-03
full_pre2026,varshare_tqqq_75_block_cut,1999-03-10,2025-12-31,100000.0000000000,175917870.5946190357,1758.1787059462,0.3214112468,154,5.7436275911,1933498.6317123855,-0.5288318220,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1173,2000-01-03
full_pre2026,varshare_tqqq_80_floor50,1999-03-10,2025-12-31,100000.0000000000,166805775.8419314027,1667.0577584193,0.3187925852,160,5.9674052895,1906826.5504094393,-0.5320994507,2007-10-31,2009-05-13,560,2010-04-06,328.0000000000,888.0000000000,1176,1999-12-23
full_pre2026,varshare_tqqq_80_floor100,1999-03-10,2025-12-31,100000.0000000000,131841941.5678387731,1317.4194156784,0.3072733322,167,6.2284792709,1637287.9902391641,-0.5359637247,2007-10-31,2009-05-13,560,2010-04-09,331.0000000000,891.0000000000,1181,1999-12-23
full_pre2026,varshare_tqqq_80_step_up,1999-03-10,2025-12-31,100000.0000000000,151092864.1259748936,1509.9286412597,0.3139353058,166,6.1911829878,1714755.1357173282,-0.5320993102,2007-10-31,2009-05-13,560,2010-04-06,328.0000000000,888.0000000000,1176,1999-12-23
full_pre2026,varshare_tqqq_80_block_cut,1999-03-10,2025-12-31,100000.0000000000,189827721.8578608632,1897.2772185786,0.3251670507,154,5.7436275911,2086286.9659416291,-0.5288319343,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,887,2007-10-31
full_pre2026,magratio_tqqq_125_floor50,1999-03-10,2025-12-31,100000.0000000000,152653813.3135009408,1525.5381331350,0.3144390776,217,8.0932934239,2081876.5448285330,-0.5162381313,2021-11-19,2022-12-28,404,2023-07-13,197.0000000000,601.0000000000,1197,2000-03-27
full_pre2026,magratio_tqqq_125_floor100,1999-03-10,2025-12-31,100000.0000000000,113601405.3028680682,1135.0140530287,0.3000332362,300,11.1888849178,2132537.0643009730,-0.7000772121,2000-03-27,2001-10-30,582,2005-11-17,1479.0000000000,2061.0000000000,2061,2000-03-27
full_pre2026,magratio_tqqq_125_step_up,1999-03-10,2025-12-31,100000.0000000000,162192691.6700875759,1620.9269167009,0.3174138816,321,11.9721068620,2429283.2951137489,-0.5503614783,2007-10-31,2009-05-13,560,2010-03-30,321.0000000000,881.0000000000,1163,2000-03-27
