fee_rate,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
0.0020000000,filtered_ret_qqq_60_return200_block_cut,2010-02-11,2025-12-31,100000.0000000000,25341453.3108395897,252.4145331084,0.4168501761,87,5.4767489659,531557.4831265337,-0.4602091024,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0020000000,ret_qqq_60_block_cut,2010-02-11,2025-12-31,100000.0000000000,25341453.3108395897,252.4145331084,0.4168501761,87,5.4767489659,531557.4831265337,-0.4602091024,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0020000000,filtered_ret_qqq_60_sma150_block_cut,2010-02-11,2025-12-31,100000.0000000000,25341453.3108395897,252.4145331084,0.4168501761,87,5.4767489659,531557.4831265337,-0.4602091024,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0020000000,filtered_ret_qqq_60_sma100_block_cut,2010-02-11,2025-12-31,100000.0000000000,25341453.3108395897,252.4145331084,0.4168501761,87,5.4767489659,531557.4831265337,-0.4602091024,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0020000000,magratio_tqqq_300_floor100,2010-02-11,2025-12-31,100000.0000000000,25517700.4913006648,254.1770049130,0.4174684872,91,5.7285535160,549385.9579186537,-0.4602091244,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0020000000,combo_qqq_50_65_floor50,2010-02-11,2025-12-31,100000.0000000000,24671385.0661092810,245.7138506611,0.4144620637,101,6.3580648914,646213.1577064935,-0.4751391377,2021-11-19,2022-12-28,404,2023-06-13,167.0000000000,571.0000000000,571,2021-11-19
0.0020000000,combo_tqqq_100_65_floor50,2010-02-11,2025-12-31,100000.0000000000,24671385.0661092810,245.7138506611,0.4144620637,101,6.3580648914,646213.1577064935,-0.4751391377,2021-11-19,2022-12-28,404,2023-06-13,167.0000000000,571.0000000000,571,2021-11-19
0.0020000000,filtered_ret_tqqq_100_return60_block_cut,2010-02-11,2025-12-31,100000.0000000000,29316976.6476065144,292.1697664761,0.4299075488,85,5.3508466908,590475.3173361159,-0.4602093126,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0020000000,ret_qqq_150_step_up,2010-02-11,2025-12-31,100000.0000000000,26633757.2868469097,265.3375728685,0.4212933727,113,7.1134785419,760165.9766378978,-0.4602975556,2024-12-16,2025-05-23,158,,,,570,2021-11-19
0.0020000000,combo_tqqq_300_65_block_cut,2010-02-11,2025-12-31,100000.0000000000,25393059.8229768872,252.9305982298,0.4170316384,89,5.6026512410,545814.5927441414,-0.4602092284,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0050000000,vo,2010-02-11,2025-12-31,100000.0000000000,21667226.1484913975,215.6722614849,0.4029476819,91,5.7285535160,1235543.9136943934,-0.4676751144,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
0.0050000000,filtered_ret_qqq_40_return60_block_cut,2010-02-11,2025-12-31,100000.0000000000,25921732.9955593348,258.2173299556,0.4188709483,83,5.2249444157,1308307.7245660746,-0.4676757587,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
