regime_id,signal_start,signal_end,band,target_tqqq_weight,data_origin,execution_start,trading_days,start_close,end_close,tqqq_return,start_volatility,end_volatility
74,2011-08-09,2011-09-29,above_90,0.0000000000,actual,2011-08-10,37,0.3148215115,0.3177919686,0.0094353689,0.9405417611,0.9189362814
75,2011-09-30,2012-01-10,above_60_at_or_below_90,0.5000000000,actual,2011-10-03,70,0.2930870950,0.3771521449,0.2868261733,0.8434491062,0.6527956121
76,2012-01-11,2012-06-05,at_or_below_60,1.0000000000,actual,2012-01-12,101,0.3797756732,0.4302243888,0.1328381968,0.5896010667,0.5624742800
77,2012-06-06,2012-06-06,above_60_at_or_below_90,0.5000000000,actual,2012-06-07,1,0.4596326053,0.4596326053,0.0000000000,0.6011018790,0.6011018790
78,2012-06-07,2012-06-21,at_or_below_60,1.0000000000,actual,2012-06-08,11,0.4544834197,0.4646819532,0.0224398362,0.5477570264,0.5993696681
79,2012-06-22,2012-07-13,above_60_at_or_below_90,0.5000000000,actual,2012-06-25,15,0.4791389406,0.4754745960,-0.0076477704,0.6065103558,0.6385381075
80,2012-07-16,2012-07-26,at_or_below_60,1.0000000000,actual,2012-07-17,9,0.4719099700,0.4732968509,0.0029388676,0.5915211857,0.5836803979
81,2012-07-27,2012-08-02,above_60_at_or_below_90,0.5000000000,actual,2012-07-30,5,0.5091403723,0.4961690009,-0.0254770042,0.6210051099,0.6047561798
82,2012-08-03,2014-10-30,at_or_below_60,1.0000000000,actual,2012-08-06,564,0.5243890285,1.7538659573,2.3445893449,0.5825791177,0.5957816419
83,2014-10-31,2014-11-04,above_60_at_or_below_90,0.5000000000,actual,2014-11-03,3,1.8261590004,1.8253674507,-0.0004334506,0.6074895841,0.6021256229
84,2014-11-05,2015-08-21,at_or_below_60,1.0000000000,actual,2014-11-06,200,1.8251698017,1.8211032152,-0.0022280593,0.5955395052,0.5825593209
85,2015-08-24,2015-09-04,above_60_at_or_below_90,0.5000000000,actual,2015-08-25,10,1.6053524017,1.7575073242,0.0947797645,0.6456434854,0.8730526021
86,2015-09-08,2015-10-02,above_90,0.0000000000,actual,2015-09-09,19,1.9066905975,1.8424999714,-0.0336659897,0.9115370192,0.9543852543
87,2015-10-05,2015-10-13,above_60_at_or_below_90,0.5000000000,actual,2015-10-06,7,1.9265021086,1.9544363022,0.0144999549,0.8903862269,0.6600215126
88,2015-10-14,2016-01-11,at_or_below_60,1.0000000000,actual,2015-10-15,61,1.9461154938,1.8264523745,-0.0614881900,0.5990921452,0.5986428389
89,2016-01-12,2016-03-18,above_60_at_or_below_90,0.5000000000,actual,2016-01-13,47,1.8880674839,1.9328421354,0.0237145398,0.6101818177,0.6271430531
90,2016-03-21,2018-02-07,at_or_below_60,1.0000000000,actual,2016-03-22,476,1.9558241367,5.8801507950,2.0064823747,0.5356107574,0.5695798298
91,2018-02-08,2018-05-11,above_60_at_or_below_90,0.5000000000,actual,2018-02-09,65,5.1514720917,6.5973391533,0.2806706580,0.6749738149,0.6316791116
92,2018-05-14,2018-10-15,at_or_below_60,1.0000000000,actual,2018-05-15,108,6.6266603470,6.6377553940,0.0016743045,0.5648062219,0.5810817537
93,2018-10-16,2018-11-06,above_60_at_or_below_90,0.5000000000,actual,2018-10-17,16,7.2095251083,6.2561788559,-0.1322342648,0.6415532144,0.8950867829
94,2018-11-07,2018-12-10,above_90,0.0000000000,actual,2018-11-08,22,6.8315138817,5.3218536377,-0.2209847290,0.9404531932,0.9063046405
95,2018-12-11,2018-12-24,above_60_at_or_below_90,0.5000000000,actual,2018-12-12,10,5.3789119720,3.6124889851,-0.3283978240,0.8801994390,0.8784080840
96,2018-12-26,2019-02-05,above_90,0.0000000000,actual,2018-12-27,28,4.2684721947,5.8777790070,0.3770217396,1.0471718207,0.9061680084
97,2019-02-06,2019-02-14,above_60_at_or_below_90,0.5000000000,actual,2019-02-07,7,5.8313565254,5.8849205971,0.0091855251,0.8485305244,0.6632561494
98,2019-02-15,2019-06-03,at_or_below_60,1.0000000000,actual,2019-02-19,74,5.9551486969,5.5976591110,-0.0600303375,0.5806734227,0.5475857522
99,2019-06-04,2019-06-04,above_60_at_or_below_90,0.5000000000,actual,2019-06-05,1,6.0513300896,6.0513300896,0.0000000000,0.6057418560,0.6057418560
100,2019-06-05,2019-06-05,at_or_below_60,1.0000000000,actual,2019-06-06,1,6.1846923828,6.1846923828,0.0000000000,0.5971066630,0.5971066630
101,2019-06-06,2019-06-24,above_60_at_or_below_90,0.5000000000,actual,2019-06-07,13,6.3275814056,7.5409436226,0.1917576621,0.6037000468,0.6208643838
102,2019-06-25,2019-08-13,at_or_below_60,1.0000000000,actual,2019-06-26,35,7.1551451683,7.4040098190,0.0347812162,0.5593127218,0.5484926019
103,2019-08-14,2019-08-14,above_60_at_or_below_90,0.5000000000,actual,2019-08-15,1,6.7407674789,6.7407674789,0.0000000000,0.6044995902,0.6044995902
104,2019-08-15,2019-08-15,at_or_below_60,1.0000000000,actual,2019-08-16,1,6.7121911049,6.7121911049,0.0000000000,0.5994403611,0.5994403611
105,2019-08-16,2019-09-19,above_60_at_or_below_90,0.5000000000,actual,2019-08-19,24,7.0217828751,7.7969551086,0.1103953579,0.6172565839,0.6113584318
106,2019-09-20,2020-02-24,at_or_below_60,1.0000000000,actual,2019-09-23,107,7.5516600609,11.3971023560,0.5092181407,0.5910460288,0.5881961671
107,2020-02-25,2020-03-03,above_60_at_or_below_90,0.5000000000,actual,2020-02-26,6,10.4751367569,9.4423933029,-0.0985899734,0.6341839242,0.8996747858
108,2020-03-04,2020-05-18,above_90,0.0000000000,actual,2020-03-05,53,10.5882987976,9.1851024628,-0.1325233035,0.9726167528,1.0119780593
109,2020-05-19,2020-06-09,above_60_at_or_below_90,0.5000000000,actual,2020-05-20,15,9.1148242950,11.1898374557,0.2276525683,0.8445163551,0.6287011734
110,2020-06-10,2020-06-10,at_or_below_60,1.0000000000,actual,2020-06-11,1,11.5936441422,11.5936441422,0.0000000000,0.5994635744,0.5994635744
111,2020-06-11,2020-08-21,above_60_at_or_below_90,0.5000000000,actual,2020-06-12,51,9.8866987228,16.8335952759,0.7026507784,0.7090324229,0.6262340311
112,2020-08-24,2020-08-25,at_or_below_60,1.0000000000,actual,2020-08-25,2,17.1456794739,17.5459117889,0.0233430419,0.5922049877,0.5926080001
113,2020-08-26,2020-08-28,above_60_at_or_below_90,0.5000000000,actual,2020-08-27,3,18.6691837311,18.7859210968,0.0062529443,0.6130532623,0.6080019245
114,2020-08-31,2020-09-02,at_or_below_60,1.0000000000,actual,2020-09-01,3,19.2206993103,20.7894649506,0.0816185517,0.5686988777,0.5683664540
115,2020-09-03,2020-09-22,above_60_at_or_below_90,0.5000000000,actual,2020-09-04,13,17.5971336365,14.8062286377,-0.1585999775,0.7004516018,0.8969914753
116,2020-09-23,2020-09-23,above_90,0.0000000000,actual,2020-09-24,1,13.4351902008,13.4351902008,0.0000000000,0.9228130798,0.9228130798
117,2020-09-24,2020-09-24,above_60_at_or_below_90,0.5000000000,actual,2020-09-25,1,13.6317348480,13.6317348480,0.0000000000,0.8966204844,0.8966204844
118,2020-09-25,2020-10-19,above_90,0.0000000000,actual,2020-09-28,17,14.5870513916,16.4250259399,0.1260004163,0.9203560511,0.9116890555
119,2020-10-20,2020-11-10,above_60_at_or_below_90,0.5000000000,actual,2020-10-21,16,16.5310363770,16.0200271606,-0.0309121101,0.8060615820,0.8877105525
120,2020-11-11,2020-11-11,above_90,0.0000000000,actual,2020-11-12,1,17.0968456268,17.0968456268,0.0000000000,0.9059315407,0.9059315407
121,2020-11-12,2020-12-16,above_60_at_or_below_90,0.5000000000,actual,2020-11-13,24,16.8467006683,20.5726699829,0.2211690816,0.8985443724,0.6283243686
122,2020-12-17,2021-02-03,at_or_below_60,1.0000000000,actual,2020-12-18,32,20.9943485260,23.9782218933,0.1421274570,0.5097021171,0.5995610447
123,2021-02-04,2021-02-16,above_60_at_or_below_90,0.5000000000,actual,2021-02-05,8,24.8263359070,26.0127410889,0.0477881708,0.6050177209,0.6030149587
124,2021-02-17,2021-02-24,at_or_below_60,1.0000000000,actual,2021-02-18,6,25.6506271362,23.3826370239,-0.0884185053,0.5872813430,0.5687656553
125,2021-02-25,2021-04-20,above_60_at_or_below_90,0.5000000000,actual,2021-02-26,38,20.9407444000,25.3433036804,0.2102389102,0.6486290785,0.6469253279
126,2021-04-21,2021-12-14,at_or_below_60,1.0000000000,actual,2021-04-22,166,25.9841537476,37.0453376770,0.4256895967,0.5657439247,0.5733793579
